Index,Time,uwTick
0,0.000000,1
1,0.011000,1
2,0.022000,1
3,0.032000,1
4,0.043000,1
5,0.055000,1
6,3.455000,6
7,3.466000,16
8,3.476000,26
9,3.486000,36
10,3.497000,47
11,3.507000,58
12,3.518000,69
13,3.529000,79
14,3.539000,90
15,3.550000,100
16,3.561000,112
17,3.571000,122
18,3.582000,133
19,3.593000,143
20,3.605000,155
21,3.616000,166
22,3.626000,176
23,3.638000,188
24,3.649000,199
25,3.659000,210
26,3.669000,220
27,3.680000,230
28,3.691000,241
29,3.702000,252
30,3.712000,262
31,3.722000,272
32,3.732000,283
33,3.743000,293
34,3.753000,303
35,3.764000,314
36,3.775000,325
37,3.786000,336
38,3.796000,346
39,3.807000,357
40,3.817000,367
41,3.828000,378
42,3.838000,389
43,3.849000,400
44,3.861000,411
45,3.872000,422
46,3.882000,432
47,3.893000,443
48,3.903000,454
49,3.914000,464
50,3.924000,474
51,3.935000,485
52,3.945000,495
53,3.956000,507
54,3.968000,518
55,3.979000,529
56,3.989000,540
57,3.999000,550
58,4.010000,560
59,4.020000,571
60,4.031000,581
61,4.041000,591
62,4.051000,602
63,4.062000,612
64,4.072000,622
65,4.082000,632
66,4.092000,642
67,4.102000,652
68,4.114000,664
69,4.124000,674
70,4.134000,684
71,4.144000,694
72,4.154000,705
73,4.166000,716
74,4.176000,727
75,4.187000,737
76,4.198000,749
77,4.209000,760
78,4.220000,771
79,4.231000,781
80,4.241000,791
81,4.251000,801
82,4.261000,812
83,4.272000,823
84,4.283000,833
85,4.293000,843
86,4.303000,853
87,4.314000,864
88,4.325000,875
89,4.337000,888
90,4.349000,899
91,4.360000,910
92,4.370000,921
93,4.381000,931
94,4.391000,941
95,4.401000,951
96,4.411000,961
97,4.421000,971
98,4.432000,982
99,4.442000,993
100,4.453000,1003
101,4.463000,1014
102,4.474000,1024
103,4.484000,1034
104,4.494000,1044
105,4.504000,1054
106,4.514000,1065
107,4.525000,1075
108,4.536000,1086
109,4.546000,1096
110,4.557000,1108
111,4.568000,1118
112,4.579000,1129
113,4.589000,1139
114,4.599000,1150
115,4.611000,1161
116,4.622000,1172
117,4.633000,1183
118,4.643000,1193
119,4.653000,1204
120,4.664000,1214
121,4.675000,1225
122,4.686000,1236
123,4.696000,1246
124,4.708000,1258
125,4.718000,1268
126,4.728000,1278
127,4.739000,1289
